exposuretype,securitylevel,varcharext,createuserid,coverageid,createtime,compbenefitsid,averageweeklywages,daysinweek,lostpropertytype,segment,lastdayworked,ssbenefit,pipdeathbenefitsid,id,claimid,rsbenefitsid,examinationdate,ppdbenefitsid,integerext,tpdbenefitsid,wagestmtrecd,claimanttype,closedoutcome,hospitaldate,incidentlimitreached,locked,wcbenefit,settlemethod,othercovgchoice,wagebenefit,deathbenefitsid,assignedgroupid,depreciatedvalue,previousqueueid,assignmentdate,assignmentstatus,loadcommandid,metriclimitgeneration,disbenefitsid,progress,diagnosticcnsistnt,assignedbyuserid,wcpreexdisblty,updateuserid,updatetime,losscategory,treatedpatientbfr,lossparty,publicid,breakin,retired,archivepartition,validationlevel,pippersonagglimitreached,lifepensionbenefitsid,jurisdictionstate,state,coveragesubtype,previoususerid,vocbenefitsid,statlineid,priorempdataid,reopendate,isoreceivedate,claimorder,strategy,ptdbenefitsid,replacementvalue,ttdbenefitsid,wcpreexdisbltyinfo,closedate,wcbenefitsid,previousgroupid,exposuretier,riagreementgroupid,pipvocbenefitsid,isostatus,settledate,ssdibenefitsid,pipnonmedagglimitreached,assignedqueueid,pipesslimitreached,othercoverageinfo,templocationid,hospitaldays,furthertreatment,assigneduserid,isosenddate,ssdieligible,isoknown,exposurelimitreached,reopenedreason,beanversion,wagestmtsent,claimantdenormid,primarycoverage,currentconditions,incidentid,newempdataid,rigroupsetexternally,pipclaimagglimitreached,othercoverage,contactpermitted
COL,,,,COV01-1000002,2018-07-30,,,,,,,,,EXP01-10004,CLM01-1007219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100263,,,,,
COMP,,,,COV01-1000001,2018-06-24,,,,,,,,,EXP01-10003,CLM01-1003227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100264,,,,,
COMP,,,,COV01-1000001,2018-09-14,,,,,,,,,EXP01-10003,CLM01-1005838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100265,,,,,
COMP,,,,COV01-1000001,2018-06-24,,,,,,,,,EXP01-10003,CLM01-1008919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100266,,,,,
BI,,,,COV01-1000001,2018-06-04,,,,,,,,,EXP01-10002,CLM01-1009372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100267,,,,,
COMP,,,,COV01-1000001,2018-12-10,,,,,,,,,EXP01-10003,CLM01-1004330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100268,,,,,
COL,,,,COV01-1000001,2018-01-05,,,,,,,,,EXP01-10004,CLM01-1002363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100269,,,,,
PD,,,,COV01-1000001,2018-03-15,,,,,,,,,EXP01-10005,CLM01-1001718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100270,,,,,
BI,,,,COV01-1000001,2018-10-18,,,,,,,,,EXP01-10002,CLM01-1009983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100271,,,,,
GLASS,,,,COV01-1000002,2018-04-08,,,,,,,,,EXP01-10001,CLM01-1000192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100272,,,,,
PD,,,,COV01-1000001,2018-08-02,,,,,,,,,EXP01-10005,CLM01-1006073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100273,,,,,
GLASS,,,,COV01-1000003,2018-12-22,,,,,,,,,EXP01-10001,CLM01-1004576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2019-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100274,,,,,
BI,,,,COV01-1000002,2019-02-02,,,,,,,,,EXP01-10002,CLM01-1002919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100275,,,,,
COL,,,,COV01-1000001,2018-03-31,,,,,,,,,EXP01-10004,CLM01-1004365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100276,,,,,
COL,,,,COV01-1000002,2018-09-09,,,,,,,,,EXP01-10004,CLM01-1001066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100277,,,,,
COL,,,,COV01-1000001,2018-03-08,,,,,,,,,EXP01-10004,CLM01-1001774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100278,,,,,
GLASS,,,,COV01-1000002,2018-09-29,,,,,,,,,EXP01-10001,CLM01-1009715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100279,,,,,
GLASS,,,,COV01-1000002,2018-01-30,,,,,,,,,EXP01-10001,CLM01-1000139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100280,,,,,
PD,,,,COV01-1000002,2018-11-13,,,,,,,,,EXP01-10005,CLM01-1008884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100281,,,,,
COL,,,,COV01-1000003,2019-01-01,,,,,,,,,EXP01-10004,CLM01-1008027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100282,,,,,
BI,,,,COV01-1000002,2018-03-02,,,,,,,,,EXP01-10002,CLM01-1007001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100283,,,,,
BI,,,,COV01-1000002,2018-08-19,,,,,,,,,EXP01-10002,CLM01-1010484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100284,,,,,
COL,,,,COV01-1000001,2018-08-27,,,,,,,,,EXP01-10004,CLM01-1009548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100285,,,,,
COMP,,,,COV01-1000001,2018-05-13,,,,,,,,,EXP01-10003,CLM01-1009362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100286,,,,,
BI,,,,COV01-1000005,2019-01-24,,,,,,,,,EXP01-10002,CLM01-1002741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100287,,,,,
COL,,,,COV01-1000002,2018-06-05,,,,,,,,,EXP01-10004,CLM01-1000145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100288,,,,,
COMP,,,,COV01-1000002,2018-08-04,,,,,,,,,EXP01-10003,CLM01-1004413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100289,,,,,
BI,,,,COV01-1000002,2018-06-23,,,,,,,,,EXP01-10002,CLM01-1002653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100290,,,,,
COMP,,,,COV01-1000002,2018-07-21,,,,,,,,,EXP01-10003,CLM01-1010942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100291,,,,,
COMP,,,,COV01-1000002,2018-07-03,,,,,,,,,EXP01-10003,CLM01-1003401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100292,,,,,
GLASS,,,,COV01-1000001,2018-05-09,,,,,,,,,EXP01-10001,CLM01-1009879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100293,,,,,
PD,,,,COV01-1000002,2018-12-24,,,,,,,,,EXP01-10005,CLM01-1004091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100294,,,,,
COL,,,,COV01-1000002,2018-01-24,,,,,,,,,EXP01-10004,CLM01-1010997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100295,,,,,
COL,,,,COV01-1000002,2019-01-08,,,,,,,,,EXP01-10004,CLM01-1002226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100296,,,,,
PD,,,,COV01-1000002,2018-11-30,,,,,,,,,EXP01-10005,CLM01-1001799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100297,,,,,
GLASS,,,,COV01-1000001,2018-01-29,,,,,,,,,EXP01-10001,CLM01-1009530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100298,,,,,
COMP,,,,COV01-1000002,2018-04-26,,,,,,,,,EXP01-10003,CLM01-1008169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100299,,,,,
COL,,,,COV01-1000001,2018-06-12,,,,,,,,,EXP01-10004,CLM01-1006650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100300,,,,,
PD,,,,COV01-1000002,2018-11-20,,,,,,,,,EXP01-10005,CLM01-1003641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100301,,,,,
BI,,,,COV01-1000002,2018-11-21,,,,,,,,,EXP01-10002,CLM01-1000073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100302,,,,,
COMP,,,,COV01-1000002,2018-12-13,,,,,,,,,EXP01-10003,CLM01-1003721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100303,,,,,
PD,,,,COV01-1000002,2018-12-03,,,,,,,,,EXP01-10005,CLM01-1008487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100304,,,,,
COMP,,,,COV01-1000002,2018-01-07,,,,,,,,,EXP01-10003,CLM01-1008320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100305,,,,,
GLASS,,,,COV01-1000001,2018-03-07,,,,,,,,,EXP01-10001,CLM01-1005154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100306,,,,,
COMP,,,,COV01-1000002,2018-08-20,,,,,,,,,EXP01-10003,CLM01-1008649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100307,,,,,
PD,,,,COV01-1000001,2018-10-23,,,,,,,,,EXP01-10005,CLM01-1003900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100308,,,,,
COL,,,,COV01-1000002,2018-11-12,,,,,,,,,EXP01-10004,CLM01-1007853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100309,,,,,
COL,,,,COV01-1000002,2018-05-26,,,,,,,,,EXP01-10004,CLM01-1008964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100310,,,,,
COMP,,,,COV01-1000002,2018-05-05,,,,,,,,,EXP01-10003,CLM01-1005108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100311,,,,,
COL,,,,COV01-1000001,2019-01-24,,,,,,,,,EXP01-10004,CLM01-1001713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100312,,,,,
BI,,,,COV01-1000001,2018-07-18,,,,,,,,,EXP01-10002,CLM01-1003151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100313,,,,,
GLASS,,,,COV01-1000001,2018-12-28,,,,,,,,,EXP01-10001,CLM01-1001908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100314,,,,,
PD,,,,COV01-1000001,2018-10-25,,,,,,,,,EXP01-10005,CLM01-1001862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100315,,,,,
PD,,,,COV01-1000002,2018-11-21,,,,,,,,,EXP01-10005,CLM01-1010358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100316,,,,,
COL,,,,COV01-1000002,2019-01-28,,,,,,,,,EXP01-10004,CLM01-1009030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100317,,,,,
COL,,,,COV01-1000001,2018-07-19,,,,,,,,,EXP01-10004,CLM01-1004479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100318,,,,,
COL,,,,COV01-1000002,2018-10-17,,,,,,,,,EXP01-10004,CLM01-1005487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100319,,,,,
BI,,,,COV01-1000002,2018-03-16,,,,,,,,,EXP01-10002,CLM01-1003501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100320,,,,,
PD,,,,COV01-1000001,2018-05-03,,,,,,,,,EXP01-10005,CLM01-1009768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100321,,,,,
COL,,,,COV01-1000004,2018-05-26,,,,,,,,,EXP01-10004,CLM01-1006649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100322,,,,,
PD,,,,COV01-1000005,2019-01-11,,,,,,,,,EXP01-10005,CLM01-1006594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100323,,,,,
COMP,,,,COV01-1000002,2018-12-26,,,,,,,,,EXP01-10003,CLM01-1002291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100324,,,,,
COL,,,,COV01-1000005,2018-01-28,,,,,,,,,EXP01-10004,CLM01-1006133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100325,,,,,
GLASS,,,,COV01-1000002,2018-11-14,,,,,,,,,EXP01-10001,CLM01-1010814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100326,,,,,
COL,,,,COV01-1000003,2018-01-23,,,,,,,,,EXP01-10004,CLM01-1005426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100327,,,,,
PD,,,,COV01-1000001,2018-08-16,,,,,,,,,EXP01-10005,CLM01-1001075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100328,,,,,
COMP,,,,COV01-1000001,2018-10-07,,,,,,,,,EXP01-10003,CLM01-1003453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100329,,,,,
PD,,,,COV01-1000004,2018-04-07,,,,,,,,,EXP01-10005,CLM01-1006402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100330,,,,,
PD,,,,COV01-1000001,2018-10-04,,,,,,,,,EXP01-10005,CLM01-1009414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100331,,,,,
COL,,,,COV01-1000001,2018-05-22,,,,,,,,,EXP01-10004,CLM01-1004289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100332,,,,,
GLASS,,,,COV01-1000002,2018-03-13,,,,,,,,,EXP01-10001,CLM01-1000424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100333,,,,,
BI,,,,COV01-1000002,2018-04-07,,,,,,,,,EXP01-10002,CLM01-1001007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100334,,,,,
COL,,,,COV01-1000001,2018-10-11,,,,,,,,,EXP01-10004,CLM01-1008637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100335,,,,,
COL,,,,COV01-1000002,2018-09-01,,,,,,,,,EXP01-10004,CLM01-1007587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100336,,,,,
COMP,,,,COV01-1000002,2018-01-30,,,,,,,,,EXP01-10003,CLM01-1009996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100337,,,,,
BI,,,,COV01-1000004,2018-05-04,,,,,,,,,EXP01-10002,CLM01-1010966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100338,,,,,
COL,,,,COV01-1000001,2018-08-31,,,,,,,,,EXP01-10004,CLM01-1009104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100339,,,,,
GLASS,,,,COV01-1000001,2018-08-06,,,,,,,,,EXP01-10001,CLM01-1004646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100340,,,,,
PD,,,,COV01-1000005,2018-09-26,,,,,,,,,EXP01-10005,CLM01-1000196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100341,,,,,
COMP,,,,COV01-1000001,2018-12-15,,,,,,,,,EXP01-10003,CLM01-1000510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100342,,,,,
PD,,,,COV01-1000001,2018-09-17,,,,,,,,,EXP01-10005,CLM01-1008175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100343,,,,,
GLASS,,,,COV01-1000002,2018-09-16,,,,,,,,,EXP01-10001,CLM01-1008789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100344,,,,,
COL,,,,COV01-1000002,2018-08-19,,,,,,,,,EXP01-10004,CLM01-1000238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100345,,,,,
PD,,,,COV01-1000002,2018-05-06,,,,,,,,,EXP01-10005,CLM01-1004028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100346,,,,,
PD,,,,COV01-1000001,2018-12-20,,,,,,,,,EXP01-10005,CLM01-1000174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2019-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100347,,,,,
COL,,,,COV01-1000002,2018-12-01,,,,,,,,,EXP01-10004,CLM01-1007100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100348,,,,,
COMP,,,,COV01-1000002,2018-07-16,,,,,,,,,EXP01-10003,CLM01-1006881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100349,,,,,
BI,,,,COV01-1000001,2018-10-30,,,,,,,,,EXP01-10002,CLM01-1009134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100350,,,,,
COL,,,,COV01-1000002,2018-12-15,,,,,,,,,EXP01-10004,CLM01-1010605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100351,,,,,
