,exposure_id,exp_createdate,exp_claim_id,exp_lossparty,exp_coverage_id,exp_incident_id,exp_vehicle_id,exp_group,exp_type,exp_closedate,exp_status,exp_resolution
341,EXP01-10003,05-09-2018,CLM01-1004263,Insured,COV01-1000002,INC01-100341,A11CBA8C8A2A4DDA,Subrogation,COMP,02-10-2018,Closed,Closed with payments
342,EXP01-10001,01-07-2018,CLM01-1003647,Insured,COV01-1000002,INC01-100342,FBF26D3112824D68,FastTrack,GLASS,,Open,Closed with payments
343,EXP01-10005,19-08-2018,CLM01-1010023,Thirdparty,COV01-1000001,INC01-100343,0B46B9F6D5674645,houseowners Low Compound,PD,14-09-2018,Closed,Duplicate
344,EXP01-10003,16-09-2018,CLM01-1009372,Insured,COV01-1000002,INC01-100344,AFC8BAF44A0D4385,Glass,COMP,14-10-2018,Closed,Closed with payments
345,EXP01-10002,11-04-2018,CLM01-1005670,Insured,COV01-1000001,INC01-100345,560F73E035F344CB,Glass,BI,07-05-2018,Closed,Closed without payment
346,EXP01-10003,11-08-2018,CLM01-1002806,Thirdparty,COV01-1000001,INC01-100346,F4005E470B994C21,Analyst Vendor IPD,COMP,13-09-2018,Closed,Duplicate
347,EXP01-10003,18-10-2018,CLM01-1010284,Thirdparty,COV01-1000001,INC01-100347,EF34F09780094EA6,Total Loss,COMP,,Open,Duplicate
348,EXP01-10005,23-01-2018,CLM01-1000665,Thirdparty,COV01-1000001,INC01-100348,55096EE1B4A64B9B,houseowners Low Compound,PD,,Open,Closed with payments
349,EXP01-10001,23-09-2018,CLM01-1004779,Thirdparty,COV01-1000001,INC01-100349,EABD1BE76AF74755,Tow,GLASS,02-10-2018,Closed,Duplicate
350,EXP01-10003,09-03-2018,CLM01-1004714,Insured,COV01-1000001,INC01-100350,EC48BD2E034B49FE,FastTrack,COMP,,Open,Duplicate
351,EXP01-10003,02-10-2018,CLM01-1003012,Insured,COV01-1000002,INC01-100351,5CBF3855BADF4026,Glass,COMP,26-10-2018,Closed,Closed with payments
352,EXP01-10005,10-09-2018,CLM01-1004474,Thirdparty,COV01-1000002,INC01-100352,1EB14E2ADA1640DA,houseowners Low Compound,PD,08-10-2018,Closed,Duplicate
353,EXP01-10002,16-08-2018,CLM01-1001182,Insured,COV01-1000001,INC01-100353,2F064D6405404BA8,Salvage,BI,10-09-2018,Closed,Closed with payments
354,EXP01-10002,09-03-2018,CLM01-1005120,Insured,COV01-1000002,INC01-100354,0C1DF58456104ED5,Injury,BI,10-04-2018,Closed,Closed with payments
355,EXP01-10002,14-05-2018,CLM01-1009096,Thirdparty,COV01-1000002,INC01-100355,718FC922F856487D,Total Loss,BI,12-06-2018,Closed,Duplicate
356,EXP01-10002,06-01-2019,CLM01-1008670,Insured,COV01-1000002,INC01-100356,4B1EAA0FBEBA439C,Analyst Vendor IPD,BI,01-02-2019,Closed,Rejected
357,EXP01-10004,28-08-2018,CLM01-1000147,Thirdparty,COV01-1000002,INC01-100357,082FEBEC7BFB4CDE,Salvage,COL,22-09-2018,Closed,Rejected
358,EXP01-10003,07-01-2018,CLM01-1007224,Insured,COV01-1000002,INC01-100358,9C0FCE8A6A474FBF,houseowners Low Compound,COMP,,Open,Duplicate
359,EXP01-10005,23-12-2018,CLM01-1003177,Insured,COV01-1000001,INC01-100359,BDBBD2ADAEDD4ED8,Glass,PD,,Open,Closed without payment
360,EXP01-10003,06-10-2018,CLM01-1000657,Insured,COV01-1000002,INC01-100360,076BEA10632E4F29,Fire/Theft,COMP,02-11-2018,Closed,Reported in siu
361,EXP01-10002,24-01-2019,CLM01-1009598,Thirdparty,COV01-1000001,INC01-100361,77BCD73AA0FA499C,Salvage,BI,,Open,Closed with payments
362,EXP01-10003,20-06-2018,CLM01-1007915,Insured,COV01-1000001,INC01-100362,C1BE7CB34BAF49EE,Fire/Theft,COMP,17-07-2018,Closed,Closed with payments
363,EXP01-10002,05-11-2018,CLM01-1010570,Thirdparty,COV01-1000002,INC01-100363,D2B0212797694255,Injury-Compound,BI,,Open,Closed with payments
364,EXP01-10001,24-04-2018,CLM01-1009771,Thirdparty,COV01-1000002,INC01-100364,56308C7655764F8B,Injury,GLASS,01-05-2018,Closed,Rejected
365,EXP01-10004,28-01-2018,CLM01-1005193,Thirdparty,COV01-1000002,INC01-100365,A3C967410BB54A4D,Glass,COL,01-03-2018,Closed,Reported in siu
366,EXP01-10002,18-03-2018,CLM01-1010501,Insured,COV01-1000002,INC01-100366,136A53FCCBAB4BFB,Medical Claims,BI,11-04-2018,Closed,Rejected
367,EXP01-10001,12-03-2018,CLM01-1009284,Thirdparty,COV01-1000001,INC01-100367,397F91637DA944BE,Fire/Theft,GLASS,,Open,Rejected
368,EXP01-10005,03-08-2018,CLM01-1008034,Thirdparty,COV01-1000002,INC01-100368,0876869BDDA843A9,Tow,PD,01-09-2018,Closed,Reported in siu
369,EXP01-10003,02-10-2018,CLM01-1002937,Thirdparty,COV01-1000002,INC01-100369,EC9312883CEA40AF,Salvage,COMP,,Open,Reported in siu
370,EXP01-10001,29-12-2018,CLM01-1006461,Insured,COV01-1000001,INC01-100370,9A62256F8165495D,houseowners Low Compound,GLASS,,Open,Rejected
371,EXP01-10003,19-05-2018,CLM01-1003667,Thirdparty,COV01-1000002,INC01-100371,B4377CD530FB46AA,Analyst Vendor IPD,COMP,,Open,Closed without payment
372,EXP01-10005,14-03-2018,CLM01-1001814,Insured,COV01-1000001,INC01-100372,4926E34A8D6B4E99,Subrogation,PD,13-04-2018,Closed,Duplicate
373,EXP01-10001,14-12-2018,CLM01-1010374,Insured,COV01-1000002,INC01-100373,3D04B3FE08274C5E,Medical Claims,GLASS,25-12-2018,Closed,Rejected
374,EXP01-10003,28-04-2018,CLM01-1010704,Insured,COV01-1000002,INC01-100374,59E31B9764584986,Salvage,COMP,26-05-2018,Closed,Closed with payments
375,EXP01-10003,07-02-2019,CLM01-1003489,Insured,COV01-1000002,INC01-100375,31E76F6E677C470E,FastTrack,COMP,,Open,Duplicate
376,EXP01-10005,19-07-2018,CLM01-1006420,Insured,COV01-1000001,INC01-100376,C5596C513A104B70,Total Loss,PD,14-08-2018,Closed,Duplicate
377,EXP01-10003,30-11-2018,CLM01-1001605,Insured,COV01-1000002,INC01-100377,31515D75A54C4944,Physical,COMP,,Open,Duplicate
378,EXP01-10005,12-04-2018,CLM01-1007675,Thirdparty,COV01-1000001,INC01-100378,06A93424CF3F4BEB,Subrogation,PD,10-05-2018,Closed,Closed with payments
379,EXP01-10003,14-03-2018,CLM01-1004188,Thirdparty,COV01-1000001,INC01-100379,7EEC4DE5DA9B4569,Medical Claims,COMP,15-04-2018,Closed,Rejected
380,EXP01-10002,11-07-2018,CLM01-1001056,Insured,COV01-1000002,INC01-100380,EE33E1F852A64455,Subrogation,BI,,Open,Closed with payments
381,EXP01-10004,01-09-2018,CLM01-1004129,Thirdparty,COV01-1000002,INC01-100381,D0359C26763744FF,Total Loss,COL,27-09-2018,Closed,Closed with payments
382,EXP01-10001,01-03-2018,CLM01-1008009,Insured,COV01-1000001,INC01-100382,2E61F70CDD65418D,Salvage,GLASS,13-03-2018,Closed,Duplicate
383,EXP01-10001,15-04-2018,CLM01-1006883,Insured,COV01-1000002,INC01-100383,42B1668FBD0E43E6,houseowners Low Compound,GLASS,20-04-2018,Closed,Duplicate
384,EXP01-10004,06-10-2018,CLM01-1000135,Insured,COV01-1000002,INC01-100384,948CB4D85EEF47C8,Medical Claims,COL,,Open,Reported in siu
385,EXP01-10004,15-07-2018,CLM01-1009384,Insured,COV01-1000001,INC01-100385,86E22E9764174E3E,Tow,COL,,Open,Reported in siu
386,EXP01-10002,25-10-2018,CLM01-1010226,Insured,COV01-1000001,INC01-100386,49D880B0F95A4475,Medical Claims,BI,,Open,Rejected
387,EXP01-10003,03-02-2018,CLM01-1006445,Insured,COV01-1000002,INC01-100387,9D01D69424114429,Injury,COMP,26-02-2018,Closed,Rejected
388,EXP01-10001,22-09-2018,CLM01-1006373,Thirdparty,COV01-1000002,INC01-100388,E423223FA8544792,Injury,GLASS,05-10-2018,Closed,Closed with payments
389,EXP01-10001,25-03-2018,CLM01-1005264,Insured,COV01-1000002,INC01-100389,D23E43CBA98445F2,Analyst Vendor IPD,GLASS,01-04-2018,Closed,Duplicate
390,EXP01-10002,30-04-2018,CLM01-1006518,Thirdparty,COV01-1000002,INC01-100390,823B9E2D36D94753,Fire/Theft,BI,31-05-2018,Closed,Duplicate
391,EXP01-10004,27-04-2018,CLM01-1010860,Insured,COV01-1000002,INC01-100391,2B6BE023EBF64D9D,Subrogation,COL,27-05-2018,Closed,Rejected
392,EXP01-10001,06-07-2018,CLM01-1004701,Insured,COV01-1000002,INC01-100392,C37E9964B73449BC,Medical Claims,GLASS,,Open,Duplicate
393,EXP01-10001,20-04-2018,CLM01-1008711,Thirdparty,COV01-1000001,INC01-100393,FF37E0BD2B434A23,Analyst Vendor IPD,GLASS,04-05-2018,Closed,Duplicate
394,EXP01-10003,31-01-2019,CLM01-1008980,Insured,COV01-1000001,INC01-100394,9C4747F6B1B84878,Total Loss,COMP,,Open,Rejected
395,EXP01-10002,26-04-2018,CLM01-1005126,Insured,COV01-1000001,INC01-100395,C34BB5A05F98412F,Analyst Vendor IPD,BI,23-05-2018,Closed,Closed without payment
396,EXP01-10002,14-04-2018,CLM01-1008410,Insured,COV01-1000002,INC01-100396,E7D8904CC29D41BB,FastTrack,BI,,Open,Closed without payment
397,EXP01-10002,12-01-2019,CLM01-1004374,Insured,COV01-1000001,INC01-100397,7F6A8F41B3F14569,General,BI,,Open,Closed without payment
398,EXP01-10003,14-09-2018,CLM01-1003987,Thirdparty,COV01-1000002,INC01-100398,61BF7B4C58FB4B29,General,COMP,,Open,Closed with payments
399,EXP01-10002,07-05-2018,CLM01-1005561,Thirdparty,COV01-1000001,INC01-100399,3039D71EC5504B60,houseowners compound,BI,04-06-2018,Closed,Closed with payments
400,EXP01-10004,06-04-2018,CLM01-1008304,Thirdparty,COV01-1000002,INC01-100400,B82FAB9B65A0456A,General,COL,04-05-2018,Closed,Reported in siu
401,EXP01-10004,21-05-2018,CLM01-1004464,Insured,COV01-1000001,INC01-100401,F4061014D945403F,Medical Claims,COL,19-06-2018,Closed,Rejected
402,EXP01-10002,22-10-2018,CLM01-1003442,Insured,COV01-1000002,INC01-100402,1783AA8D86CD4131,Glass,BI,,Open,Rejected
403,EXP01-10003,12-01-2018,CLM01-1002390,Insured,COV01-1000001,INC01-100403,04D96E021325476A,Total Loss,COMP,04-02-2018,Closed,Closed with payments
404,EXP01-10002,21-08-2018,CLM01-1001139,Insured,COV01-1000002,INC01-100404,A73EC13B93534F05,Subrogation,BI,16-09-2018,Closed,Reported in siu
405,EXP01-10003,21-11-2018,CLM01-1002855,Insured,COV01-1000002,INC01-100405,345FCB38DAA64905,houseowners Low Compound,COMP,,Open,Duplicate
406,EXP01-10004,02-09-2018,CLM01-1001966,Insured,COV01-1000001,INC01-100406,5AE003F99FCD45B9,Medical Claims,COL,,Open,Duplicate
407,EXP01-10004,08-04-2018,CLM01-1004921,Thirdparty,COV01-1000001,INC01-100407,8F2D820B22F04220,General,COL,30-04-2018,Closed,Rejected
408,EXP01-10004,09-09-2018,CLM01-1007540,Thirdparty,COV01-1000001,INC01-100408,FA3379CF54D44A3C,Analyst Vendor IPD,COL,06-10-2018,Closed,Closed without payment
409,EXP01-10002,19-09-2018,CLM01-1004247,Insured,COV01-1000001,INC01-100409,FB1ABCF2EFDE413C,Salvage,BI,18-10-2018,Closed,Closed with payments
410,EXP01-10005,25-03-2018,CLM01-1006801,Insured,COV01-1000001,INC01-100410,7D517317B16C4BFE,Injury,PD,27-04-2018,Closed,Rejected
411,EXP01-10005,11-10-2018,CLM01-1008593,Thirdparty,COV01-1000001,INC01-100411,B3FD02AEF2CF48D0,Tow,PD,,Open,Closed with payments
412,EXP01-10001,22-02-2018,CLM01-1001690,Insured,COV01-1000001,INC01-100412,A38F3879AC994C86,Subrogation,GLASS,25-02-2018,Closed,Closed with payments
413,EXP01-10001,06-02-2019,CLM01-1009371,Insured,COV01-1000001,INC01-100413,34591D730E9B43D7,Subrogation,GLASS,,Open,Rejected
414,EXP01-10004,06-09-2018,CLM01-1005566,Insured,COV01-1000002,INC01-100414,7669DCD7083C4F40,Subrogation,COL,05-10-2018,Closed,Closed with payments
415,EXP01-10002,24-01-2018,CLM01-1006335,Insured,COV01-1000002,INC01-100415,49F1442E3AC243B1,Salvage,BI,22-02-2018,Closed,Duplicate
416,EXP01-10002,09-10-2018,CLM01-1002951,Insured,COV01-1000002,INC01-100416,7A40D961F3244CEF,Salvage,BI,,Open,Reported in siu
417,EXP01-10002,06-09-2018,CLM01-1002907,Insured,COV01-1000002,INC01-100417,D67E23AC824C48A3,Injury-Compound,BI,,Open,Closed with payments
418,EXP01-10005,06-09-2018,CLM01-1001040,Thirdparty,COV01-1000001,INC01-100418,CA6D3D7482034483,houseowners Low Compound,PD,04-10-2018,Closed,Reported in siu
419,EXP01-10001,10-01-2019,CLM01-1001166,Insured,COV01-1000002,INC01-100419,ED60AC2BB76F4257,houseowners Low Compound,GLASS,17-01-2019,Closed,Closed without payment
420,EXP01-10001,29-12-2018,CLM01-1007852,Insured,COV01-1000002,INC01-100420,8A9C36017A5348C8,Salvage,GLASS,,Open,Rejected
421,EXP01-10004,13-09-2018,CLM01-1004601,Thirdparty,COV01-1000001,INC01-100421,7B4668217966469E,Fire/Theft,COL,11-10-2018,Closed,Reported in siu
422,EXP01-10001,23-01-2018,CLM01-1005759,Insured,COV01-1000001,INC01-100422,8E979ABC9ECE4F17,Tow,GLASS,31-01-2018,Closed,Closed with payments
423,EXP01-10001,01-07-2018,CLM01-1008458,Thirdparty,COV01-1000001,INC01-100423,B15D33B91F5B472F,Injury-Compound,GLASS,09-07-2018,Closed,Closed with payments
424,EXP01-10005,17-01-2018,CLM01-1002494,Insured,COV01-1000002,INC01-100424,2AB0C449492E4329,Subrogation,PD,,Open,Duplicate
425,EXP01-10003,13-01-2018,CLM01-1009868,Insured,COV01-1000001,INC01-100425,5384C3C7FDB24429,houseowners compound,COMP,,Open,Reported in siu
426,EXP01-10005,10-02-2018,CLM01-1010031,Insured,COV01-1000002,INC01-100426,816B5A8426024CF9,Salvage,PD,11-03-2018,Closed,Closed with payments
427,EXP01-10001,16-09-2018,CLM01-1004333,Thirdparty,COV01-1000002,INC01-100427,68E880C040BA48A6,General,GLASS,22-09-2018,Closed,Closed without payment
428,EXP01-10003,02-02-2019,CLM01-1000052,Thirdparty,COV01-1000001,INC01-100428,771191F9ED074682,houseowners Low Compound,COMP,,Open,Reported in siu
429,EXP01-10002,09-05-2018,CLM01-1010197,Insured,COV01-1000001,INC01-100429,61F14CA8CAED45CD,Total Loss,BI,10-06-2018,Closed,Closed without payment
430,EXP01-10001,14-12-2018,CLM01-1003251,Insured,COV01-1000001,INC01-100430,A6196E2C24B94FF9,Salvage,GLASS,,Open,Duplicate
431,EXP01-10001,26-11-2018,CLM01-1008279,Insured,COV01-1000001,INC01-100431,D7C0D0229F904325,Total Loss,GLASS,,Open,Closed without payment
432,EXP01-10001,07-12-2018,CLM01-1006511,Thirdparty,COV01-1000002,INC01-100432,FA01079E7E0F4FEB,Salvage,GLASS,20-12-2018,Closed,Rejected
433,EXP01-10002,13-11-2018,CLM01-1006364,Insured,COV01-1000002,INC01-100433,F937591D937C4ECD,FastTrack,BI,,Open,Reported in siu
434,EXP01-10005,27-08-2018,CLM01-1007030,Thirdparty,COV01-1000002,INC01-100434,D1C8FC1F3B2D428E,houseowners Low Compound,PD,25-09-2018,Closed,Reported in siu
435,EXP01-10004,23-10-2018,CLM01-1005631,Insured,COV01-1000001,INC01-100435,A00E3CF5205848E6,Salvage,COL,,Open,Rejected
436,EXP01-10002,27-09-2018,CLM01-1004529,Thirdparty,COV01-1000001,INC01-100436,3DE328DCA3BF4DA9,Analyst Vendor IPD,BI,26-10-2018,Closed,Rejected
437,EXP01-10004,14-10-2018,CLM01-1002105,Insured,COV01-1000002,INC01-100437,6913EEC73210489B,General,COL,15-11-2018,Closed,Closed with payments
438,EXP01-10001,30-05-2018,CLM01-1001092,Thirdparty,COV01-1000001,INC01-100438,0CF1F8C1AB9A4F5E,Fire/Theft,GLASS,08-06-2018,Closed,Closed with payments
439,EXP01-10001,12-05-2018,CLM01-1007617,Insured,COV01-1000002,INC01-100439,F21B1585EB634752,Total Loss,GLASS,,Open,Closed without payment
440,EXP01-10002,27-03-2018,CLM01-1006884,Insured,COV01-1000002,INC01-100440,3ADCF4B3EC8E47B1,houseowners Low Compound,BI,27-04-2018,Closed,Rejected
441,EXP01-10005,30-12-2018,CLM01-1008767,Insured,COV01-1000001,INC01-100441,56D86AA5271041F7,General,PD,,Open,Rejected
442,EXP01-10002,30-09-2018,CLM01-1009144,Insured,COV01-1000002,INC01-100442,55EE822548CA4995,Tow,BI,24-10-2018,Closed,Rejected
443,EXP01-10003,23-06-2018,CLM01-1003190,Thirdparty,COV01-1000001,INC01-100443,A6FA6AE9606846EA,Subrogation,COMP,18-07-2018,Closed,Rejected
444,EXP01-10001,22-08-2018,CLM01-1001041,Insured,COV01-1000001,INC01-100444,BFB5F61AEFAE4BC3,Physical,GLASS,,Open,Rejected
445,EXP01-10001,07-04-2018,CLM01-1003414,Insured,COV01-1000001,INC01-100445,40DE9DAA0CD649EC,Analyst Vendor IPD,GLASS,15-04-2018,Closed,Closed with payments
446,EXP01-10005,20-10-2018,CLM01-1001624,Insured,COV01-1000002,INC01-100446,CEA7D5EE64B5493C,General,PD,20-11-2018,Closed,Closed without payment
447,EXP01-10003,11-07-2018,CLM01-1008092,Insured,COV01-1000002,INC01-100447,0AB7B29AEF8940BF,Analyst Vendor IPD,COMP,03-08-2018,Closed,Rejected
448,EXP01-10002,13-03-2018,CLM01-1004294,Thirdparty,COV01-1000002,INC01-100448,CBEAB7411E0C4652,Salvage,BI,13-04-2018,Closed,Closed without payment
449,EXP01-10005,21-06-2018,CLM01-1002156,Insured,COV01-1000002,INC01-100449,C0C02E0A3FD84D60,Injury-Compound,PD,18-07-2018,Closed,Duplicate
450,EXP01-10003,24-01-2019,CLM01-1002127,Insured,COV01-1000001,INC01-100450,23232198264744C2,Tow,COMP,,Open,Rejected
451,EXP01-10003,16-07-2018,CLM01-1002527,Insured,COV01-1000001,INC01-100451,4542A2F4749642FE,Salvage,COMP,14-08-2018,Closed,Closed without payment
452,EXP01-10002,23-04-2018,CLM01-1005321,Thirdparty,COV01-1000001,INC01-100452,FF7C8962E8224846,Subrogation,BI,23-05-2018,Closed,Closed with payments
453,EXP01-10004,31-10-2018,CLM01-1000863,Insured,COV01-1000001,INC01-100453,9B89C720127C4072,Salvage,COL,,Open,Closed with payments
454,EXP01-10003,26-07-2018,CLM01-1003920,Thirdparty,COV01-1000002,INC01-100454,91973C1354584C94,FastTrack,COMP,23-08-2018,Closed,Closed without payment
455,EXP01-10004,20-04-2018,CLM01-1002577,Insured,COV01-1000002,INC01-100455,CB48A0571FBB406B,Total Loss,COL,20-05-2018,Closed,Duplicate
456,EXP01-10004,06-10-2018,CLM01-1010491,Insured,COV01-1000002,INC01-100456,E97336207FF24435,Injury,COL,,Open,Rejected
457,EXP01-10002,27-04-2018,CLM01-1003736,Thirdparty,COV01-1000002,INC01-100457,ECC1298EE87442E9,Injury,BI,26-05-2018,Closed,Duplicate
458,EXP01-10003,08-03-2018,CLM01-1002638,Insured,COV01-1000001,INC01-100458,DB18EC8E24184B2C,General,COMP,05-04-2018,Closed,Reported in siu
459,EXP01-10003,19-05-2018,CLM01-1007056,Insured,COV01-1000001,INC01-100459,01575C2A729344A7,Subrogation,COMP,18-06-2018,Closed,Closed with payments
460,EXP01-10004,07-07-2018,CLM01-1008951,Thirdparty,COV01-1000002,INC01-100460,4D47255ADA424301,General,COL,04-08-2018,Closed,Closed with payments
461,EXP01-10001,21-10-2018,CLM01-1002852,Insured,COV01-1000002,INC01-100461,083C0AF133914FDE,General,GLASS,25-10-2018,Closed,Reported in siu
462,EXP01-10004,04-06-2018,CLM01-1002211,Thirdparty,COV01-1000002,INC01-100462,8857B7A1B3F14D66,houseowners Low Compound,COL,30-06-2018,Closed,Reported in siu
463,EXP01-10003,31-07-2018,CLM01-1008755,Insured,COV01-1000002,INC01-100463,67B7A8AD07494CD7,Injury,COMP,27-08-2018,Closed,Rejected
464,EXP01-10003,15-09-2018,CLM01-1004361,Thirdparty,COV01-1000001,INC01-100464,8A748502DAFB4910,Glass,COMP,16-10-2018,Closed,Rejected
465,EXP01-10005,25-07-2018,CLM01-1006340,Thirdparty,COV01-1000002,INC01-100465,0F582E9958D54198,Glass,PD,29-08-2018,Closed,Closed with payments
466,EXP01-10001,20-04-2018,CLM01-1008401,Insured,COV01-1000002,INC01-100466,4CD62596EFB9448C,Glass,GLASS,,Open,Duplicate
467,EXP01-10004,02-01-2019,CLM01-1005368,Insured,COV01-1000001,INC01-100467,11B6E70B9B98457A,Analyst Vendor IPD,COL,,Open,Closed with payments
468,EXP01-10004,09-12-2018,CLM01-1001141,Insured,COV01-1000001,INC01-100468,BC3C82E7FA5346FE,FastTrack,COL,,Open,Duplicate
469,EXP01-10005,07-09-2018,CLM01-1002842,Insured,COV01-1000001,INC01-100469,8F0737B9F7C04120,Total Loss,PD,07-10-2018,Closed,Closed with payments
470,EXP01-10002,08-03-2018,CLM01-1005408,Insured,COV01-1000002,INC01-100470,FEF40708A9464D24,General,BI,,Open,Duplicate
471,EXP01-10002,17-08-2018,CLM01-1009502,Insured,COV01-1000002,INC01-100471,78FF376583914694,Glass,BI,14-09-2018,Closed,Closed without payment
472,EXP01-10003,07-06-2018,CLM01-1009929,Thirdparty,COV01-1000001,INC01-100472,F4B47528C8FA4FE1,Subrogation,COMP,07-07-2018,Closed,Rejected
473,EXP01-10003,15-06-2018,CLM01-1009199,Thirdparty,COV01-1000001,INC01-100473,5937B35003FB4C34,Tow,COMP,,Open,Duplicate
474,EXP01-10003,08-12-2018,CLM01-1007516,Insured,COV01-1000002,INC01-100474,7B4011527D014075,General,COMP,05-01-2019,Closed,Duplicate
475,EXP01-10005,17-07-2018,CLM01-1008826,Thirdparty,COV01-1000002,INC01-100475,C32ED3F06B7C45DE,General,PD,13-08-2018,Closed,Closed with payments
476,EXP01-10002,04-02-2018,CLM01-1004528,Insured,COV01-1000002,INC01-100476,E5202917D12147DA,Glass,BI,05-03-2018,Closed,Closed with payments
477,EXP01-10004,04-12-2018,CLM01-1000199,Insured,COV01-1000001,INC01-100477,5F71C461489A4852,General,COL,,Open,Closed without payment
478,EXP01-10005,30-05-2018,CLM01-1007916,Insured,COV01-1000001,INC01-100478,1B04FE947AFD41DB,Physical,PD,25-06-2018,Closed,Duplicate
479,EXP01-10004,07-09-2018,CLM01-1008453,Insured,COV01-1000001,INC01-100479,A1FAFFB1378044FC,Injury-Compound,COL,04-10-2018,Closed,Duplicate
480,EXP01-10004,08-10-2018,CLM01-1007903,Insured,COV01-1000001,INC01-100480,06CF7D72DFB54C2E,Tow,COL,,Open,Rejected
481,EXP01-10005,06-06-2018,CLM01-1009301,Insured,COV01-1000001,INC01-100481,3DEB9F20B8C84A2D,houseowners compound,PD,,Open,Closed without payment
482,EXP01-10001,23-03-2018,CLM01-1000517,Insured,COV01-1000002,INC01-100482,267178628C394C8C,Total Loss,GLASS,,Open,Duplicate
483,EXP01-10005,21-12-2018,CLM01-1010275,Thirdparty,COV01-1000002,INC01-100483,D327D4A2AC714004,Physical,PD,,Open,Duplicate
484,EXP01-10001,07-11-2018,CLM01-1001247,Insured,COV01-1000001,INC01-100484,8F7F8130D1B14834,Fire/Theft,GLASS,,Open,Reported in siu
485,EXP01-10003,03-01-2019,CLM01-1003774,Thirdparty,COV01-1000001,INC01-100485,75DB1FA5B2C84270,Injury-Compound,COMP,,Open,Rejected
486,EXP01-10001,27-01-2018,CLM01-1007564,Insured,COV01-1000001,INC01-100486,4D087A5FB0F142FE,Physical,GLASS,01-02-2018,Closed,Rejected
487,EXP01-10002,23-01-2019,CLM01-1005301,Thirdparty,COV01-1000002,INC01-100487,08D91AD7146D412A,Subrogation,BI,,Open,Closed with payments
488,EXP01-10003,16-06-2018,CLM01-1002264,Thirdparty,COV01-1000002,INC01-100488,09C8E592C3864244,Tow,COMP,16-07-2018,Closed,Closed with payments
489,EXP01-10002,02-08-2018,CLM01-1000553,Insured,COV01-1000002,INC01-100489,107C6C0A74E24FD2,houseowners Low Compound,BI,,Open,Duplicate
490,EXP01-10002,18-09-2018,CLM01-1006473,Thirdparty,COV01-1000002,INC01-100490,E81F899A544046BE,houseowners Low Compound,BI,16-10-2018,Closed,Closed without payment
491,EXP01-10003,14-04-2018,CLM01-1010163,Insured,COV01-1000001,INC01-100491,548AC5D35E8845A7,General,COMP,,Open,Rejected
492,EXP01-10004,03-01-2019,CLM01-1010637,Insured,COV01-1000001,INC01-100492,97E9DC81AD9A4FBD,Physical,COL,30-01-2019,Closed,Duplicate
493,EXP01-10005,17-04-2018,CLM01-1005826,Insured,COV01-1000002,INC01-100493,8EE3EE951410407E,Analyst Vendor IPD,PD,16-05-2018,Closed,Closed without payment
494,EXP01-10005,31-12-2018,CLM01-1001942,Insured,COV01-1000002,INC01-100494,BB7D63D393E84612,Fire/Theft,PD,,Open,Closed with payments
495,EXP01-10005,06-05-2018,CLM01-1001044,Thirdparty,COV01-1000002,INC01-100495,71DE60F76CF44DBD,Glass,PD,03-06-2018,Closed,Duplicate
496,EXP01-10001,22-09-2018,CLM01-1007584,Thirdparty,COV01-1000001,INC01-100496,A1CEB5D7F0DE4417,Total Loss,GLASS,03-10-2018,Closed,Reported in siu
497,EXP01-10002,16-09-2018,CLM01-1006384,Insured,COV01-1000001,INC01-100497,A7D6959311C94293,Injury,BI,15-10-2018,Closed,Duplicate
498,EXP01-10002,26-01-2018,CLM01-1006069,Insured,COV01-1000001,INC01-100498,BEA2D3EC155243BC,General,BI,26-02-2018,Closed,Closed without payment
499,EXP01-10003,30-10-2018,CLM01-1003545,Thirdparty,COV01-1000001,INC01-100499,E5C868BCFA044E8A,Injury-Compound,COMP,,Open,Closed with payments
500,EXP01-10001,19-10-2018,CLM01-1008896,Insured,COV01-1000001,INC01-100500,E384532F88654221,houseowners Low Compound,GLASS,,Open,Rejected
501,EXP01-10001,16-11-2018,CLM01-1000076,Insured,COV01-1000001,INC01-100501,683BA01688DE4CD7,Total Loss,GLASS,,Open,Duplicate
502,EXP01-10005,22-03-2018,CLM01-1010792,Insured,COV01-1000001,INC01-100502,3FE0761787F64759,houseowners Low Compound,PD,16-04-2018,Closed,Reported in siu
503,EXP01-10003,29-06-2018,CLM01-1003568,Insured,COV01-1000001,INC01-100503,7B21E11CE4474440,Injury,COMP,,Open,Closed without payment
504,EXP01-10001,07-01-2019,CLM01-1001162,Thirdparty,COV01-1000001,INC01-100504,EC5D01F47A6C48C4,Medical Claims,GLASS,20-01-2019,Closed,Duplicate
505,EXP01-10005,22-04-2018,CLM01-1002286,Insured,COV01-1000002,INC01-100505,64EDA51B532344FB,Injury-Compound,PD,20-05-2018,Closed,Reported in siu
506,EXP01-10003,19-06-2018,CLM01-1009720,Thirdparty,COV01-1000002,INC01-100506,0D8728C8B42D447A,Subrogation,COMP,21-07-2018,Closed,Closed without payment
507,EXP01-10002,03-10-2018,CLM01-1008609,Insured,COV01-1000001,INC01-100507,F80BD4DC6466447E,Subrogation,BI,,Open,Closed with payments
508,EXP01-10004,03-10-2018,CLM01-1002204,Thirdparty,COV01-1000001,INC01-100508,FFAA788472254FC6,Subrogation,COL,02-11-2018,Closed,Reported in siu
